>ZNF136.H11FULL
0.027	0.099	0.03	0.844
0.121	0.038	0.753	0.088
0.041	0.868	0.014	0.077
0.016	0.049	0.005	0.929
0.066	0.008	0.877	0.049
0.145	0.041	0.786	0.027
0.562	0.025	0.384	0.03
0.014	0.132	0.014	0.841
0.923	0.011	0.025	0.041
0.093	0.274	0.016	0.616
0.921	0.011	0.063	0.005
0.186	0.049	0.753	0.011
0.438	0.06	0.052	0.449
0.934	0.019	0.036	0.011
0.022	0.022	0.014	0.942
0.022	0.047	0.038	0.893
0.027	0.825	0.019	0.129
0.027	0.041	0.033	0.899
0.14	0.052	0.156	0.652
0.142	0.003	0.795	0.06
0.033	0.014	0.934	0.019
0.06	0.225	0.005	0.71
0.027	0.025	0.047	0.901
0.058	0.016	0.879	0.047
