>TBX19.H11FULL
0.422	0.135	0.148	0.296
0.239	0.145	0.189	0.427
0.159	0.119	0.191	0.531
0.028	0.042	0.025	0.905
0.263	0.563	0.137	0.038
0.6	0.017	0.329	0.055
0.011	0.969	0.009	0.012
0.901	0.008	0.083	0.008
0.082	0.657	0.034	0.228
0.304	0.211	0.336	0.149
0.094	0.046	0.046	0.814
0.862	0.007	0.064	0.066
0.07	0.061	0.754	0.114
0.013	0.003	0.978	0.006
0.004	0.009	0.005	0.982
0.005	0.005	0.985	0.005
0.027	0.188	0.009	0.776
0.018	0.074	0.75	0.158
0.941	0.017	0.024	0.017
0.597	0.157	0.093	0.154
0.453	0.147	0.136	0.264
0.297	0.12	0.128	0.455
