>ZNF140.H11FULL
0.162	0.202	0.129	0.507
0.502	0.176	0.178	0.144
0.173	0.144	0.156	0.527
0.178	0.116	0.531	0.176
0.569	0.164	0.136	0.131
0.104	0.491	0.104	0.3
0.087	0.593	0.156	0.164
0.144	0.602	0.044	0.209
0.649	0.051	0.067	0.233
0.08	0.018	0.784	0.118
0.009	0.96	0.011	0.02
0.833	0.098	0.018	0.051
0.918	0.018	0.053	0.011
0.004	0.02	0.002	0.973
0.009	0.004	0.004	0.982
0.011	0.976	0.004	0.009
0.069	0.687	0.013	0.231
0.469	0.022	0.5	0.009
0.022	0.856	0.047	0.076
0.013	0.104	0.011	0.871
0.004	0.944	0.002	0.049
0.158	0.711	0.016	0.116
0.171	0.176	0.08	0.573
0.467	0.151	0.129	0.253
