>SP1.H11FULL
0.315	0.206	0.333	0.146
0.192	0.1	0.669	0.038
0.044	0.008	0.81	0.138
0.058	0.008	0.934	0.0
0.0	0.008	0.992	0.0
0.004	0.0	0.996	0.0
0.032	0.954	0.004	0.01
0.01	0.0	0.988	0.002
0.002	0.008	0.926	0.064
0.066	0.002	0.916	0.016
0.018	0.03	0.912	0.04
0.06	0.868	0.014	0.058
0.058	0.595	0.19	0.156
0.144	0.112	0.463	0.281
0.082	0.176	0.705	0.036
0.114	0.166	0.681	0.038
0.16	0.196	0.575	0.068
0.088	0.267	0.587	0.058
0.12	0.232	0.581	0.066
0.118	0.144	0.629	0.108
0.12	0.12	0.705	0.054
0.168	0.186	0.609	0.036
