>ZNF563.H11FULL
0.241	0.127	0.443	0.189
0.093	0.105	0.636	0.167
0.165	0.161	0.471	0.203
0.279	0.269	0.251	0.201
0.021	0.083	0.147	0.75
0.006	0.89	0.008	0.096
0.351	0.487	0.022	0.14
0.1	0.18	0.152	0.567
0.158	0.313	0.273	0.257
0.355	0.138	0.299	0.208
0.11	0.629	0.17	0.09
0.265	0.299	0.032	0.405
0.178	0.026	0.627	0.168
0.034	0.118	0.683	0.164
0.032	0.792	0.168	0.008
0.717	0.194	0.008	0.08
0.269	0.124	0.539	0.068
0.018	0.896	0.018	0.068
0.186	0.17	0.1	0.543
0.054	0.18	0.667	0.098
0.154	0.403	0.066	0.377
