>REST.H11FULL
0.142	0.084	0.192	0.582
0.028	0.142	0.038	0.792
0.012	0.924	0.016	0.048
0.916	0.028	0.024	0.032
0.02	0.04	0.938	0.002
0.074	0.676	0.174	0.076
0.948	0.014	0.026	0.012
0.014	0.944	0.03	0.012
0.03	0.904	0.022	0.044
0.552	0.11	0.158	0.18
0.126	0.3	0.086	0.488
0.03	0.008	0.958	0.004
0.024	0.006	0.964	0.006
0.864	0.066	0.028	0.042
0.014	0.796	0.146	0.044
0.948	0.01	0.018	0.024
0.026	0.018	0.942	0.014
0.136	0.642	0.11	0.112
0.202	0.03	0.468	0.3
0.138	0.606	0.18	0.076
0.134	0.706	0.026	0.134
0.272	0.43	0.124	0.174
